,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,Set
54,Resort Hotel,0,114,2017,June,24,11,2,4,2,2.0,0,BB,CN,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,5.0,,0,Transient-Party,140.4,1,3,Check-Out,2017-06-17,train
55,Resort Hotel,1,315,2016,September,36,2,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,314.0,,0,Transient,86.4,0,0,Canceled,2015-10-29,train
56,City Hotel,0,19,2015,October,41,6,0,3,2,0.0,0,BB,TUR,Offline TA/TO,TA/TO,1,0,0,A,A,0,No Deposit,82.0,,0,Transient-Party,90.0,0,0,Check-Out,2015-10-09,train
57,City Hotel,0,122,2016,June,24,11,2,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,109.65,0,0,Check-Out,2016-06-15,train
58,City Hotel,1,77,2017,April,15,10,1,3,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,101.25,0,1,Canceled,2017-01-25,train
59,Resort Hotel,1,27,2016,April,18,25,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,85.0,0,0,Canceled,2016-03-30,train
60,City Hotel,1,113,2016,May,23,31,0,3,1,0.0,0,BB,PRT,Corporate,TA/TO,0,0,0,A,A,0,Non Refund,,202.0,0,Transient,100.0,0,0,Canceled,2016-04-11,train
61,City Hotel,1,54,2017,April,14,5,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,110.0,0,0,Canceled,2017-02-13,train
62,Resort Hotel,0,112,2017,January,4,26,0,3,2,0.0,0,BB,IRL,Direct,Direct,0,0,0,A,D,0,No Deposit,250.0,,0,Transient,36.96,0,1,Check-Out,2017-01-29,train
63,City Hotel,0,2,2017,August,31,3,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,509.0,,0,Transient-Party,166.0,0,0,Check-Out,2017-08-04,train
64,City Hotel,0,116,2017,May,19,9,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,117.0,0,1,Check-Out,2017-05-12,train
65,Resort Hotel,0,0,2016,March,10,4,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,196.0,,0,Transient,60.0,0,0,Check-Out,2016-03-06,train
66,City Hotel,0,135,2015,December,49,5,2,1,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,D,1,No Deposit,1.0,,0,Transient-Party,60.0,0,0,Check-Out,2015-12-08,train
67,City Hotel,1,174,2017,June,22,1,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58.0,,0,Transient,100.0,0,0,Canceled,2017-01-24,train
68,Resort Hotel,0,139,2017,July,30,29,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,234.0,1,2,Check-Out,2017-08-02,train
69,City Hotel,0,41,2016,July,32,31,2,1,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient-Party,177.3,1,0,Check-Out,2016-08-03,train
70,Resort Hotel,0,164,2016,July,27,1,4,10,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,75.0,,0,Contract,105.4,0,0,Check-Out,2016-07-15,train
71,City Hotel,0,46,2016,November,47,18,0,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,89.2,0,1,Check-Out,2016-11-20,train
72,City Hotel,1,9,2015,September,39,26,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,9.0,,0,Contract,212.0,0,0,Canceled,2015-09-22,train
73,City Hotel,1,62,2017,April,14,6,0,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,135.0,0,0,Canceled,2017-02-03,train
74,City Hotel,0,91,2016,May,21,21,1,1,2,0.0,0,SC,CHL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,125.1,1,0,Check-Out,2016-05-23,train
75,City Hotel,0,247,2016,June,24,6,1,1,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-06-08,train
76,City Hotel,0,0,2017,January,1,7,2,1,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.29,0,0,Check-Out,2017-01-10,train
77,Resort Hotel,1,165,2017,August,34,24,2,5,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,5.0,,0,Transient,229.43,0,0,Canceled,2017-04-25,train
78,Resort Hotel,0,191,2016,April,17,22,1,2,2,0.0,0,Undefined,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,,,0,Transient-Party,85.33,0,1,Check-Out,2016-04-25,train
79,City Hotel,1,23,2017,June,23,7,0,2,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,52.0,,0,Transient,166.5,0,0,Canceled,2017-05-19,train
80,Resort Hotel,1,259,2015,September,38,17,0,3,2,0.0,0,BB,GBR,Groups,Corporate,0,1,0,A,A,0,Non Refund,,223.0,0,Transient,40.05,0,0,Canceled,2015-01-21,train
81,City Hotel,1,89,2016,April,16,16,2,1,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,85.5,0,1,Canceled,2016-04-02,train
82,City Hotel,0,28,2015,October,41,7,0,3,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Contract,107.53,0,1,Check-Out,2015-10-10,train
83,City Hotel,0,0,2017,February,8,25,2,2,2,0.0,0,SC,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,90.5,0,0,Check-Out,2017-03-01,train
84,Resort Hotel,1,42,2015,July,29,13,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,120.0,0,0,Canceled,2015-06-01,train
85,City Hotel,0,61,2015,November,48,23,1,3,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,70.0,0,0,Check-Out,2015-11-27,train
86,Resort Hotel,0,3,2015,December,50,6,1,0,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,196.0,,0,Transient,38.0,0,1,Check-Out,2015-12-07,train
87,Resort Hotel,1,179,2016,August,33,9,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,240.0,0,0,Canceled,2016-02-13,train
88,Resort Hotel,0,169,2016,March,14,31,0,3,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,A,1,Refundable,,223.0,0,Transient-Party,66.0,0,0,Check-Out,2016-04-03,train
89,Resort Hotel,1,188,2017,April,15,10,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,43.2,0,0,Canceled,2016-11-07,train
90,City Hotel,0,36,2016,October,42,9,2,2,3,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9.0,,0,Transient,171.9,0,3,Check-Out,2016-10-13,train
91,City Hotel,0,0,2015,December,49,2,0,1,1,0.0,0,BB,ESP,Direct,Direct,1,0,0,A,A,1,No Deposit,,,0,Transient,69.0,0,0,Check-Out,2015-12-03,train
92,City Hotel,0,58,2016,January,5,27,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,87.0,,0,Transient-Party,81.0,0,0,Check-Out,2016-01-29,train
93,City Hotel,1,12,2015,October,44,25,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,37.0,,0,Transient-Party,111.0,0,0,Canceled,2015-10-14,train
94,City Hotel,0,73,2017,June,23,8,0,3,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,140.0,0,0,Check-Out,2017-06-11,train
95,Resort Hotel,0,250,2016,July,31,30,0,1,2,0.0,0,BB,IRL,Direct,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,121.0,0,1,Check-Out,2016-07-31,train
96,City Hotel,1,27,2016,June,27,29,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,11,A,A,1,No Deposit,,40.0,0,Transient,65.0,0,0,Canceled,2016-06-27,train
97,City Hotel,1,1,2016,February,10,28,2,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient-Party,60.0,0,0,Canceled,2016-02-27,train
98,City Hotel,1,62,2016,May,19,7,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.4,0,0,Canceled,2016-03-06,train
99,Resort Hotel,0,55,2017,January,2,11,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,44.41,0,1,Check-Out,2017-01-14,train
100,City Hotel,1,182,2016,October,42,12,0,1,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.1,0,0,Canceled,2016-10-07,train
101,City Hotel,0,143,2016,August,35,25,0,3,2,0.0,0,BB,CZE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,36.0,,0,Transient-Party,100.0,0,0,Check-Out,2016-08-28,train
102,Resort Hotel,0,107,2016,July,29,13,0,4,1,1.0,0,BB,AZE,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,242.0,,0,Transient,162.0,0,1,Check-Out,2016-07-17,train
103,Resort Hotel,1,35,2017,June,23,5,1,5,2,0.0,0,HB,BEL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,193.67,0,1,Canceled,2017-05-17,train
104,Resort Hotel,0,8,2017,March,10,10,2,3,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,80.0,1,1,Check-Out,2017-03-15,train
105,City Hotel,1,3,2015,October,41,7,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient,70.0,0,0,Canceled,2015-10-04,train
106,City Hotel,1,67,2017,June,23,6,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,170.0,0,0,Canceled,2017-04-03,train
107,City Hotel,0,86,2016,March,14,30,1,4,2,0.0,0,BB,BEL,Direct,Direct,0,0,0,B,B,0,No Deposit,,,0,Transient,71.19,0,1,Check-Out,2016-04-04,train
108,City Hotel,1,240,2016,October,43,21,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,110.0,0,0,Canceled,2016-03-15,train
109,City Hotel,0,238,2016,September,38,13,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,124.2,1,3,Check-Out,2016-09-16,train
110,City Hotel,0,25,2016,November,46,7,1,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,86.0,,0,Transient,146.2,0,0,Check-Out,2016-11-11,train
111,Resort Hotel,1,68,2016,July,27,1,0,1,2,2.0,0,BB,CN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,220.0,0,0,Canceled,2016-05-30,train
112,City Hotel,0,51,2016,December,49,3,2,1,2,1.0,0,BB,ESP,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,129.0,0,0,Check-Out,2016-12-06,train
113,City Hotel,0,58,2017,April,15,11,0,3,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,3,Check-Out,2017-04-14,train
114,Resort Hotel,0,0,2016,February,6,1,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,45.0,0,0,Check-Out,2016-02-02,train
115,City Hotel,0,4,2017,July,27,3,1,0,1,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.0,0,1,Check-Out,2017-07-04,train
116,City Hotel,0,5,2016,May,20,10,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,3,31,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,Check-Out,2016-05-11,train
117,City Hotel,0,175,2017,August,32,8,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,148.5,0,0,Check-Out,2017-08-11,train
118,City Hotel,0,26,2016,September,39,18,1,0,2,0.0,0,BB,ISR,Offline TA/TO,TA/TO,0,0,1,A,A,0,No Deposit,118.0,,0,Transient,95.0,0,1,Check-Out,2016-09-19,train
119,City Hotel,0,92,2016,April,14,2,2,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,77.6,0,0,Check-Out,2016-04-06,train
120,City Hotel,0,1,2016,January,1,2,2,1,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,71.84,0,0,Check-Out,2016-01-05,train
121,Resort Hotel,0,31,2016,April,15,8,2,2,3,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,1,No Deposit,91.0,,0,Transient-Party,73.69,0,0,Check-Out,2016-04-12,train
122,City Hotel,1,126,2016,August,32,6,2,1,2,1.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,93.17,0,0,Canceled,2016-04-02,train
123,City Hotel,1,74,2015,September,38,18,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,,0,Transient-Party,101.5,0,0,Canceled,2015-07-06,train
124,City Hotel,0,220,2016,October,43,20,1,3,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,80.75,0,1,Check-Out,2016-10-24,train
125,Resort Hotel,1,102,2016,February,7,8,1,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,332.0,,0,Transient-Party,50.0,0,0,Canceled,2016-02-02,train
126,Resort Hotel,1,468,2016,May,20,12,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,249.0,,0,Transient-Party,67.0,0,0,Canceled,2015-07-30,train
127,City Hotel,1,1,2015,November,47,19,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,0,No-Show,2015-11-19,train
128,Resort Hotel,0,82,2016,February,7,7,2,0,2,0.0,0,Undefined,PRT,Groups,TA/TO,1,0,0,A,A,0,No Deposit,67.0,,0,Transient-Party,72.0,0,0,Check-Out,2016-02-09,train
129,City Hotel,1,156,2017,April,17,26,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,37.0,,0,Transient,100.0,0,0,Canceled,2016-11-21,train
